Evaluador,TipoAudifono,MarcaReferencia,Marca,Referencia
Rtings,over-ear,Logitech G Pro Gaming Headset,Logitech,G Pro Gaming Headset
Rtings,over-ear,Logitech G PRO X 2 LIGHTSPEED,Logitech,G PRO X 2 LIGHTSPEED
Rtings,over-ear,Logitech G Pro X Gaming Headset,Logitech,G Pro X Gaming Headset
Rtings,over-ear,Logitech G335,Logitech,G335
Rtings,over-ear,Logitech G430,Logitech,G430
Rtings,over-ear,Logitech G432,Logitech,G432
Rtings,over-ear,Logitech G435 LIGHTSPEED,Logitech,G435 LIGHTSPEED
Rtings,over-ear,Logitech G533,Logitech,G533
Rtings,over-ear,Logitech G535 LIGHTSPEED,Logitech,G535 LIGHTSPEED
Rtings,over-ear,Logitech G635,Logitech,G635
Rtings,over-ear,Logitech G735,Logitech,G735
Rtings,over-ear,Logitech G933,Logitech,G933
Rtings,over-ear,Logitech G935,Logitech,G935
Rtings,over-ear,Logitech Zone Wired,Logitech,Zone Wired
Jaytiss,in-ear,Moondrop x Crinacle DUSK,Moondrop,x Crinacle DUSK
oratory1990,in-ear,Moondrop Blessing,Moondrop,Blessing
Super Review,in-ear,Moondrop Alice (default EQ),Moondrop,Alice
Super Review,in-ear,Moondrop Darksaber,Moondrop,Darksaber
Super Review,in-ear,Moondrop Illumination,Moondrop,Illumination
Super Review,in-ear,Moondrop KXXX,Moondrop,KXXX
Super Review,in-ear,Moondrop S8,Moondrop,S8
Super Review,in-ear,Moondrop Solis 2,Moondrop,Solis 2
Super Review,in-ear,Moondrop Solis,Moondrop,Solis
Super Review,in-ear,Moondrop Sparks,Moondrop,Sparks
Super Review,in-ear,Moondrop Stardust,Moondrop,Stardust
Super Review,in-ear,Moondrop Stellaris,Moondrop,Stellaris
Super Review,in-ear,Moondrop Voyager,Moondrop,Voyager
Filk,over-ear,Philips TAH2005BK00,Philips,TAH2005BK00
Innerfidelity,in-ear,Philips Fidelio S1 Early 2013,Philips,Fidelio S1 Early 2013
Innerfidelity,in-ear,Philips SHE3590,Philips,SHE3590
Innerfidelity,in-ear,Philips SME3580,Philips,SME3580
Innerfidelity,in-ear,Philips TX1,Philips,TX1
Innerfidelity,in-ear,Philips TX2,Philips,TX2
Innerfidelity,over-ear,Philips ActionFit SHQ5200,Philips,ActionFit SHQ5200
Innerfidelity,over-ear,Philips Cityscape Downtown,Philips,Cityscape Downtown
Innerfidelity,over-ear,Philips Construct,Philips,Construct
Innerfidelity,over-ear,Philips Fidelio L1,Philips,Fidelio L1
Innerfidelity,over-ear,Philips Fidelio X1,Philips,Fidelio X1
Innerfidelity,over-ear,Philips Fidelio X2,Philips,Fidelio X2
Innerfidelity,over-ear,Philips L2,Philips,L2
Innerfidelity,over-ear,Philips O'Neil Bend,Philips,O'Neil Bend
Innerfidelity,over-ear,Philips O'Neil Crash,Philips,O'Neil Crash
Innerfidelity,over-ear,Philips SBC HP910,Philips,SBC HP910
kr0mka,in-ear,Philips TAE1105,Philips,TAE1105
oratory1990,in-ear,Philips SHE3855,Philips,SHE3855
oratory1990,in-ear,Philips SHS8000,Philips,SHS8000
oratory1990,over-ear,Philips Fidelio L2,Philips,Fidelio L2
oratory1990,over-ear,Philips Fidelio M2L,Philips,Fidelio M2L
Rtings,over-ear,Philips SHP9600,Philips,SHP9600
Super Review,in-ear,Philips SHE3590PK28,Philips,SHE3590PK28
Filk,over-ear,Razer Barracuda X (2022),Razer,Barracuda X
Rtings,in-ear,Razer Hammerhead Pro HyperSpeed,Razer,Hammerhead Pro HyperSpeed
Rtings,in-ear,Razer Hammerhead True Wireless Pro,Razer,Hammerhead True Wireless Pro
Rtings,in-ear,Razer Hammerhead USB-C ANC,Razer,Hammerhead
Rtings,in-ear,Razer Moray,Razer,Moray
Rtings,over-ear,Razer Barracuda Pro,Razer,Barracuda Pro
Rtings,over-ear,Razer Barracuda,Razer,Barracuda
Rtings,over-ear,Razer BlackShark V2 HyperSpeed,Razer,BlackShark V2 HyperSpeed
Rtings,over-ear,Razer BlackShark V2 Pro 2023,Razer,BlackShark V2 Pro 2023
Rtings,over-ear,Razer BlackShark V2 Pro,Razer,BlackShark V2 Pro
Rtings,over-ear,Razer BlackShark V2 X,Razer,BlackShark V2 X
Rtings,over-ear,Razer Kaira Pro,Razer,Kaira Pro
Rtings,over-ear,Razer Kaira X,Razer,Kaira X
Rtings,over-ear,Razer Kraken Pro V2,Razer,Kraken Pro V2
Rtings,over-ear,Razer Kraken Tournament Edition,Razer,Kraken Tournament Edition
Rtings,over-ear,Razer Kraken Ultimate,Razer,Kraken Ultimate
Rtings,over-ear,Razer Kraken USB,Razer,Kraken USB
Rtings,over-ear,Razer Kraken V3 HyperSense,Razer,Kraken V3 HyperSense
Rtings,over-ear,Razer Kraken V3 X,Razer,Kraken V3 X
Rtings,over-ear,Razer Kraken V3,Razer,Kraken V3
Rtings,over-ear,Razer Kraken X,Razer,Kraken X
Rtings,over-ear,Razer Man O'War,Razer,Man O'War
Rtings,over-ear,Razer Nari Ultimate,Razer,Nari Ultimate
Rtings,over-ear,Razer Opus 2021,Razer,Opus 2021
Rtings,over-ear,Razer Opus X,Razer,Opus X
Auriculares Argentina,over-ear,Sennheiser HD 400 Pro,Sennheiser,HD 400 Pro
Filk,over-ear,Sennheiser HD 424-X,Sennheiser,HD 424-X
Filk,over-ear,Sennheiser HD 545 Reference,Sennheiser,HD 545 Reference
Headphone.com Legacy,earbud,Sennheiser OMX 680,Sennheiser,OMX 680
Headphone.com Legacy,earbud,Sennheiser PMX 680,Sennheiser,PMX 680
Headphone.com Legacy,in-ear,Sennheiser CX 300-II,Sennheiser,CX 300-II
Headphone.com Legacy,in-ear,Sennheiser CX 500,Sennheiser,CX 500
Headphone.com Legacy,in-ear,Sennheiser CX 680,Sennheiser,CX 680
Headphone.com Legacy,in-ear,Sennheiser CX 880,Sennheiser,CX 880
Headphone.com Legacy,in-ear,Sennheiser IE 8,Sennheiser,IE 8
Headphone.com Legacy,in-ear,Sennheiser MM 50 iP,Sennheiser,MM 50 iP
Headphone.com Legacy,over-ear,Sennheiser EH 150,Sennheiser,EH 150
Headphone.com Legacy,over-ear,Sennheiser EH 250,Sennheiser,EH 250
Headphone.com Legacy,over-ear,Sennheiser EH 350,Sennheiser,EH 350
Headphone.com Legacy,over-ear,Sennheiser HD 203,Sennheiser,HD 203
Headphone.com Legacy,over-ear,Sennheiser HD 205 II,Sennheiser,HD 205 II
Headphone.com Legacy,over-ear,Sennheiser HD 205,Sennheiser,HD 205
Headphone.com Legacy,over-ear,Sennheiser HD 212 PRO,Sennheiser,HD 212 PRO
Headphone.com Legacy,over-ear,Sennheiser HD 229 Black,Sennheiser,HD 229 Black
Headphone.com Legacy,over-ear,Sennheiser HD 25-SP,Sennheiser,HD 25-SP
Headphone.com Legacy,over-ear,Sennheiser HD 428,Sennheiser,HD 428
Headphone.com Legacy,over-ear,Sennheiser HD 438,Sennheiser,HD 438
Headphone.com Legacy,over-ear,Sennheiser HD R 130,Sennheiser,HD R 130
Headphone.com Legacy,over-ear,Sennheiser MM 550,Sennheiser,MM 550
Headphone.com Legacy,over-ear,Sennheiser PMX 100,Sennheiser,PMX 100
Headphone.com Legacy,over-ear,Sennheiser PX 200 II,Sennheiser,PX 200 II
Headphone.com Legacy,over-ear,Sennheiser PXC 150,Sennheiser,PXC 150
Headphone.com Legacy,over-ear,Sennheiser PXC 300,Sennheiser,PXC 300
Headphone.com Legacy,over-ear,Sennheiser PXC 350,Sennheiser,PXC 350
Headphone.com Legacy,over-ear,Sennheiser PXC 450,Sennheiser,PXC 450
Headphone.com Legacy,over-ear,Sennheiser RS 130,Sennheiser,RS 130
Headphone.com Legacy,over-ear,Sennheiser RS 160,Sennheiser,RS 160
Headphone.com Legacy,over-ear,Sennheiser RS 170,Sennheiser,RS 170
Headphone.com Legacy,over-ear,Sennheiser RS 180,Sennheiser,RS 180
Innerfidelity,earbud,Sennheiser MX 680,Sennheiser,MX 680
Innerfidelity,in-ear,Sennheiser CX 1,Sennheiser,CX 1
Innerfidelity,in-ear,Sennheiser IE 6,Sennheiser,IE 6
Innerfidelity,over-ear,Sennheiser HD 229,Sennheiser,HD 229
Innerfidelity,over-ear,Sennheiser HD 25 Aluminum,Sennheiser,HD 25 Aluminum
Innerfidelity,over-ear,Sennheiser HD 25-1 II B (2012),Sennheiser,HD 45682 II B -2012
Innerfidelity,over-ear,Sennheiser HD 25-1 II,Sennheiser,HD 45682 II
Innerfidelity,over-ear,Sennheiser HD 250 II,Sennheiser,HD 250 II
Innerfidelity,over-ear,Sennheiser HD 380 Pro,Sennheiser,HD 380 Pro
Innerfidelity,over-ear,Sennheiser HD 414,Sennheiser,HD 414
Innerfidelity,over-ear,Sennheiser HD 471i,Sennheiser,HD 471i
Innerfidelity,over-ear,Sennheiser HD 560 Ovation II,Sennheiser,HD 560 Ovation II
Innerfidelity,over-ear,Sennheiser HD 565 Ovation,Sennheiser,HD 565 Ovation
Innerfidelity,over-ear,Sennheiser HD 575,Sennheiser,HD 575
Innerfidelity,over-ear,Sennheiser HD 580,Sennheiser,HD 580
Innerfidelity,over-ear,Sennheiser HE 60,Sennheiser,HE 60
Innerfidelity,over-ear,Sennheiser PX 100-IIi,Sennheiser,PX 100-IIi
Innerfidelity,over-ear,Sennheiser PX 100,Sennheiser,PX 100
Innerfidelity,over-ear,Sennheiser PX 200-IIi,Sennheiser,PX 200-IIi
Innerfidelity,over-ear,Sennheiser Urbanite XL,Sennheiser,Urbanite XL
Innerfidelity,over-ear,Sennheiser Urbanite,Sennheiser,Urbanite
oratory1990,in-ear,Sennheiser CX 3,Sennheiser,CX 3
oratory1990,in-ear,Sennheiser IE 4,Sennheiser,IE 4
oratory1990,in-ear,Sennheiser IE 80 S,Sennheiser,IE 80 S
oratory1990,in-ear,Sennheiser IE 800 S,Sennheiser,IE 800 S
oratory1990,in-ear,Sennheiser OCX 685,Sennheiser,OCX 685
oratory1990,over-ear,Sennheiser HD 515,Sennheiser,HD 515
oratory1990,over-ear,Sennheiser HD 540 reference-II,Sennheiser,HD 540 reference-II
oratory1990,over-ear,Sennheiser HD 559,Sennheiser,HD 559
oratory1990,over-ear,Sennheiser HD 630VB,Sennheiser,HD 630VB
oratory1990,over-ear,Sennheiser HD 660S (Dekoni Fenestrated Sheepskin Earpads),Sennheiser,HD 660S
oratory1990,over-ear,Sennheiser HE 1 Orpheus 2,Sennheiser,HE 1 Orpheus 2
oratory1990,over-ear,Sennheiser HE 90 Orpheus,Sennheiser,HE 90 Orpheus
oratory1990,over-ear,Sennheiser PC 373D,Sennheiser,PC 373D
oratory1990,over-ear,Sennheiser PC37X,Sennheiser,PC37X
Rtings,in-ear,Sennheiser AMBEO Smart Headset,Sennheiser,AMBEO Smart Headset
Rtings,in-ear,Sennheiser CX Plus True Wireless,Sennheiser,CX Plus True Wireless
Rtings,in-ear,Sennheiser CX True Wireless,Sennheiser,CX True Wireless
Rtings,in-ear,Sennheiser CXC-700,Sennheiser,CXC-700
Rtings,in-ear,Sennheiser HD1 In-Ear Wireless,Sennheiser,HD1 In-Ear Wireless
Rtings,in-ear,Sennheiser HD1 In-Ear,Sennheiser,HD1 In-Ear
Rtings,over-ear,Sennheiser HD 25,Sennheiser,HD 25
Rtings,over-ear,Sennheiser HD1 On-Ear,Sennheiser,HD1 On-Ear
Rtings,over-ear,Sennheiser HD1 Over-Ear,Sennheiser,HD1 Over-Ear
Rtings,over-ear,Sennheiser HD1 Wireless,Sennheiser,HD1 Wireless
Rtings,over-ear,Sennheiser PXC 250 II,Sennheiser,PXC 250 II
Rtings,over-ear,Sennheiser RS 165,Sennheiser,RS 165
Rtings,over-ear,Sennheiser RS 175,Sennheiser,RS 175
Rtings,over-ear,Sennheiser RS 185,Sennheiser,RS 185
Rtings,over-ear,Sennheiser RS 195,Sennheiser,RS 195
Rtings,over-ear,Sennheiser SC 160 USB-C,Sennheiser,SC 160 USB-C
Headphone.com Legacy,in-ear,Shure SE110,Shure,SE110
Headphone.com Legacy,in-ear,Shure SE210,Shure,SE210
Headphone.com Legacy,in-ear,Shure SE310,Shure,SE310
Headphone.com Legacy,in-ear,Shure SE420,Shure,SE420
oratory1990,in-ear,Shure KSE1200,Shure,KSE1200
oratory1990,in-ear,Shure KSE1500,Shure,KSE1500
oratory1990,in-ear,Shure SE112,Shure,SE112
oratory1990,over-ear,Shure SRH440A,Shure,SRH440A
oratory1990,over-ear,Shure SRH840A,Shure,SRH840A
Rtings,over-ear,Shure AONIC 50 Gen 2,Shure,AONIC 50 Gen 2
Headphone.com Legacy,in-ear,Skullcandy Smokin Buds- Mic'd,Skullcandy,Smokin Buds- Mic'd
Headphone.com Legacy,over-ear,Skullcandy Aviators,Skullcandy,Aviators
Headphone.com Legacy,over-ear,Skullcandy Hesh NBA,Skullcandy,Hesh NBA
Headphone.com Legacy,over-ear,Skullcandy Hesh,Skullcandy,Hesh
Headphone.com Legacy,over-ear,Skullcandy SkullCrushers Max Bass,Skullcandy,SkullCrushers Max Bass
Innerfidelity,over-ear,Skullcandy Aviators no Lens,Skullcandy,Aviators no Lens
Innerfidelity,over-ear,Skullcandy Navigator,Skullcandy,Navigator
Innerfidelity,over-ear,Skullcandy Roc Nation Aviator,Skullcandy,Roc Nation Aviator
kr0mka,in-ear,Skullcandy Inkd 2,Skullcandy,Inkd 2
oratory1990,over-ear,Skullcandy Grind Wireless,Skullcandy,Grind Wireless
Rtings,in-ear,Skullcandy Dime 2,Skullcandy,Dime 2
Rtings,in-ear,Skullcandy Dime 3,Skullcandy,Dime 3
Rtings,in-ear,Skullcandy Dime,Skullcandy,Dime
Rtings,in-ear,Skullcandy Grind Fuel,Skullcandy,Grind Fuel
Rtings,in-ear,Skullcandy Indy ANC,Skullcandy,Indy ANC
Rtings,in-ear,Skullcandy Indy Evo,Skullcandy,Indy Evo
Rtings,in-ear,Skullcandy Indy Fuel,Skullcandy,Indy Fuel
Rtings,in-ear,Skullcandy Indy,Skullcandy,Indy
Rtings,in-ear,Skullcandy Jib True,Skullcandy,Jib True
Rtings,in-ear,Skullcandy Jib,Skullcandy,Jib
Rtings,in-ear,Skullcandy Push Active,Skullcandy,Push Active
Rtings,in-ear,Skullcandy Push Ultra,Skullcandy,Push Ultra
Rtings,in-ear,Skullcandy Push,Skullcandy,Push
Rtings,in-ear,Skullcandy Sesh ANC,Skullcandy,Sesh ANC
Rtings,in-ear,Skullcandy Sesh Evo,Skullcandy,Sesh Evo
Rtings,in-ear,Skullcandy Sesh,Skullcandy,Sesh
Rtings,in-ear,Skullcandy Spoke,Skullcandy,Spoke
Rtings,over-ear,Skullcandy Crusher 360,Skullcandy,Crusher 360
Rtings,over-ear,Skullcandy Crusher Evo,Skullcandy,Crusher Evo
Rtings,over-ear,Skullcandy Hesh 3,Skullcandy,Hesh 3
Rtings,over-ear,Skullcandy Hesh ANC,Skullcandy,Hesh ANC
Rtings,over-ear,Skullcandy Hesh Evo,Skullcandy,Hesh Evo
Rtings,over-ear,Skullcandy Riff Wireless 2,Skullcandy,Riff Wireless 2
Rtings,over-ear,Skullcandy Venue,Skullcandy,Venue
Auriculares Argentina,over-ear,Sony MDR-ZX110,Sony,MDR-ZX110
Harpo,in-ear,Sony MDR-XB41EX,Sony,MDR-XB41EX
Headphone.com Legacy,in-ear,Sony MDR-AS40EX,Sony,MDR-AS40EX
Headphone.com Legacy,in-ear,Sony MDR-AS50G,Sony,MDR-AS50G
Headphone.com Legacy,in-ear,Sony MDR-EX56LP,Sony,MDR-EX56LP
Headphone.com Legacy,in-ear,Sony MDR-EX57LP,Sony,MDR-EX57LP
Headphone.com Legacy,over-ear,Sony MDR-DS3000,Sony,MDR-DS3000
Headphone.com Legacy,over-ear,Sony MDR-DS6000,Sony,MDR-DS6000
Headphone.com Legacy,over-ear,Sony MDR-G75,Sony,MDR-G75
Headphone.com Legacy,over-ear,Sony MDR-Q68LW,Sony,MDR-Q68LW
Headphone.com Legacy,over-ear,Sony MDR-V500,Sony,MDR-V500
Headphone.com Legacy,over-ear,Sony MDR-V700,Sony,MDR-V700
Headphone.com Legacy,over-ear,Sony MDR-Z1000,Sony,MDR-Z1000
Innerfidelity,in-ear,Sony MDR-EX600,Sony,MDR-EX600
Innerfidelity,in-ear,Sony MH1C,Sony,MH1C
Innerfidelity,over-ear,Sony DR-Z7,Sony,DR-Z7
Innerfidelity,over-ear,Sony MDR-1R,Sony,MDR-1R
Innerfidelity,over-ear,Sony MDR-1RBT,Sony,MDR-1RBT
Innerfidelity,over-ear,Sony MDR-CD3000,Sony,MDR-CD3000
Innerfidelity,over-ear,Sony MDR-D77 Eggo,Sony,MDR-D77 Eggo
Innerfidelity,over-ear,Sony MDR-SA3000,Sony,MDR-SA3000
Innerfidelity,over-ear,Sony MDR-V600,Sony,MDR-V600
Innerfidelity,over-ear,Sony MDR-XB1000,Sony,MDR-XB1000
Innerfidelity,over-ear,Sony MDR-Z7,Sony,MDR-Z7
Innerfidelity,over-ear,Sony MDR-ZX1000,Sony,MDR-ZX1000
kr0mka,in-ear,Sony MDR-XB55AP,Sony,MDR-XB55AP
oratory1990,earbud,Sony XEA20 Xperia Ear Duo,Sony,XEA20 Xperia Ear Duo
oratory1990,in-ear,Sony IER-M7,Sony,IER-M7
oratory1990,in-ear,Sony MDR-EX10,Sony,MDR-EX10
oratory1990,in-ear,Sony MDR-XB50,Sony,MDR-XB50
oratory1990,in-ear,Sony MDR-XB80BS,Sony,MDR-XB80BS
oratory1990,in-ear,Sony XBA-H3,Sony,XBA-H3
oratory1990,in-ear,Sony XBA-N1,Sony,XBA-N1
oratory1990,over-ear,Sony MDR-F1,Sony,MDR-F1
oratory1990,over-ear,Sony MDR-MA900,Sony,MDR-MA900
oratory1990,over-ear,Sony MDR-R10,Sony,MDR-R10
oratory1990,over-ear,Sony MDR-ZX310,Sony,MDR-ZX310
RikudouGoku,in-ear,Sony MDR-EX800ST,Sony,MDR-EX800ST
RikudouGoku,in-ear,Sony MDR-XB75AP,Sony,MDR-XB75AP
RikudouGoku,in-ear,Sony XBA-A2,Sony,XBA-A2
RikudouGoku,in-ear,Sony XBA-N3AP,Sony,XBA-N3AP
Rtings,earbud,Sony Float Run,Sony,Float Run
Rtings,earbud,Sony LinkBuds,Sony,LinkBuds
Rtings,in-ear,Sony INZONE Buds,Sony,INZONE Buds
Rtings,in-ear,Sony MDR-XB50AP,Sony,MDR-XB50AP
Rtings,in-ear,Sony WF-C700N,Sony,WF-C700N
Rtings,in-ear,Sony WF-SP700N,Sony,WF-SP700N
Rtings,in-ear,Sony WF-SP800N,Sony,WF-SP800N
Rtings,in-ear,Sony WI-1000XM2,Sony,WI-1000XM2
Rtings,in-ear,Sony WI-C200,Sony,WI-C200
Rtings,in-ear,Sony WI-C300,Sony,WI-C300
Rtings,in-ear,Sony WI-C310,Sony,WI-C310
Rtings,in-ear,Sony WI-C400,Sony,WI-C400
Rtings,in-ear,Sony WI-C600N,Sony,WI-C600N
Rtings,in-ear,Sony WI-SP500,Sony,WI-SP500
Rtings,in-ear,Sony WI-SP600N,Sony,WI-SP600N
Rtings,in-ear,Sony WI-XB400,Sony,WI-XB400
Rtings,over-ear,Sony h,Sony,h
Rtings,over-ear,Sony INZONE H3,Sony,INZONE H3
Rtings,over-ear,Sony INZONE H7,Sony,INZONE H7
Rtings,over-ear,Sony INZONE H9,Sony,INZONE H9
Rtings,over-ear,Sony MDR-1A,Sony,MDR-1A
Rtings,over-ear,Sony MDR-XB950B1,Sony,MDR-XB950B1
Rtings,over-ear,Sony MDR-XB950N1,Sony,MDR-XB950N1
Rtings,over-ear,Sony MDR-ZX110NC,Sony,MDR-ZX110NC
Rtings,over-ear,Sony MDR-ZX770BN,Sony,MDR-ZX770BN
Rtings,over-ear,Sony PULSE 3D,Sony,PULSE 3D
Rtings,over-ear,Sony WH-CH400,Sony,WH-CH400
Rtings,over-ear,Sony WH-CH500,Sony,WH-CH500
Rtings,over-ear,Sony WH-CH520,Sony,WH-CH520
Rtings,over-ear,Sony WH-CH700N,Sony,WH-CH700N
Rtings,over-ear,Sony WH-CH710N,Sony,WH-CH710N
Rtings,over-ear,Sony WH-CH720N,Sony,WH-CH720N
Rtings,over-ear,Sony WH-H910N,Sony,WH-H910N
Rtings,over-ear,Sony WH-XB700,Sony,WH-XB700
Rtings,over-ear,Sony WH-XB900N,Sony,WH-XB900N
Rtings,over-ear,Sony WH-XB910N,Sony,WH-XB910N
Super Review,in-ear,Sony IER-NW510N,Sony,IER-NW510N
Super Review,in-ear,Sony MDR-AS800,Sony,MDR-AS800
Super Review,in-ear,Sony MH1,Sony,MH1
Super Review,over-ear,Sony MDR-CD900ST,Sony,MDR-CD900ST
DHRME,in-ear,SoundPeats Engine,SoundPeats,Engine
Regan Cipher,earbud,SoundPeats GoFree 2,SoundPeats,GoFree 2
Regan Cipher,earbud,SoundPeats RunFree Lite,SoundPeats,RunFree Lite
Regan Cipher,earbud,SoundPeats RunFree,SoundPeats,RunFree
Regan Cipher,earbud,SoundPeats Wings2,SoundPeats,Wings2
Regan Cipher,in-ear,SoundPeats Air3 Deluxe HS,SoundPeats,Air3 Deluxe HS
Regan Cipher,in-ear,SoundPeats Air3,SoundPeats,Air3
Regan Cipher,in-ear,SoundPeats Clear,SoundPeats,Clear
Regan Cipher,in-ear,SoundPeats H1,SoundPeats,H1
Regan Cipher,in-ear,SoundPeats H2,SoundPeats,H2
Regan Cipher,in-ear,SoundPeats Life Classic,SoundPeats,Life Classic
Regan Cipher,in-ear,SoundPeats Life,SoundPeats,Life
Regan Cipher,in-ear,SoundPeats Mini,SoundPeats,Mini
Rtings,in-ear,SoundPeats Q9A,SoundPeats,Q9A
Rtings,in-ear,SoundPeats TrueFree 2,SoundPeats,TrueFree 2
Rtings,in-ear,SoundPeats TrueFree,SoundPeats,TrueFree
Innerfidelity,in-ear,Stax SR-003 SA-1993,Stax,SR-003 SA-1993
Innerfidelity,over-ear,Stax 4070,Stax,4070
Innerfidelity,over-ear,Stax Lambda Nova Signature,Stax,Lambda Nova Signature
Innerfidelity,over-ear,Stax SR-1,Stax,SR-1
Innerfidelity,over-ear,Stax SR-207,Stax,SR-207
Innerfidelity,over-ear,Stax SR-3,Stax,SR-3
Innerfidelity,over-ear,Stax SR-40 Electret SR4 Adapter,Stax,SR-40 Electret SR4 Adapter
Innerfidelity,over-ear,Stax SR-404 Ltd SSL-0670,Stax,SR-404 Ltd SSL-0670
Innerfidelity,over-ear,Stax SR-404 S 2742,Stax,SR-404 S 2742
Innerfidelity,over-ear,Stax SR-507,Stax,SR-507
Innerfidelity,over-ear,Stax SR-Gamma Pro,Stax,SR-Gamma Pro
Innerfidelity,over-ear,Stax SR-Lambda Signature,Stax,SR-Lambda Signature
Innerfidelity,over-ear,Stax SR-Sigma 07381,Stax,SR-Sigma 7381
Innerfidelity,over-ear,Stax SR-X Mk3 Pro,Stax,SR-X Mk3 Pro
oratory1990,in-ear,Stax SR-003MK2,Stax,SR-003MK2
oratory1990,over-ear,Stax Lambda Nova Basic,Stax,Lambda Nova Basic
oratory1990,over-ear,Stax SR Lambda Pro Classic (bad seal),Stax,SR Lambda Pro Classic
oratory1990,over-ear,Stax SR-009S,Stax,SR-009S
oratory1990,over-ear,Stax SR-404,Stax,SR-404
oratory1990,over-ear,Stax SR-404LE,Stax,SR-404LE
oratory1990,over-ear,Stax SR-5 Gold,Stax,SR-5 Gold
oratory1990,over-ear,Stax SR-L300 LTD,Stax,SR-L300 LTD
oratory1990,over-ear,Stax SR-L500,Stax,SR-L500
oratory1990,over-ear,Stax SR-Lambda Pro Classic,Stax,SR-Lambda Pro Classic
oratory1990,over-ear,Stax SR-Lambda Pro,Stax,SR-Lambda Pro
Innerfidelity,in-ear,SteelSeries Flux In-Ear,SteelSeries,Flux In-Ear
Innerfidelity,in-ear,SteelSeries Flux InEar Pro,SteelSeries,Flux InEar Pro
Rtings,in-ear,SteelSeries Tusq,SteelSeries,Tusq
Rtings,over-ear,SteelSeries Arctis 1 Wireless,SteelSeries,Arctis 1 Wireless
Rtings,over-ear,SteelSeries Arctis 1,SteelSeries,Arctis 1
Rtings,over-ear,SteelSeries Arctis 3 2019 Edition,SteelSeries,Arctis 3 2019 Edition
Rtings,over-ear,SteelSeries Arctis 5 2019 Edition,SteelSeries,Arctis 5 2019 Edition
Rtings,over-ear,SteelSeries Arctis 7 2019 Edition,SteelSeries,Arctis 7 2019 Edition
Rtings,over-ear,SteelSeries Arctis 7X,SteelSeries,Arctis 7X
Rtings,over-ear,SteelSeries Arctis 9,SteelSeries,Arctis 9
Rtings,over-ear,SteelSeries Arctis 9X,SteelSeries,Arctis 9X
Rtings,over-ear,SteelSeries Arctis Nova 1,SteelSeries,Arctis Nova 1
Rtings,over-ear,SteelSeries Arctis Nova 3,SteelSeries,Arctis Nova 3
Rtings,over-ear,SteelSeries Arctis Nova 7,SteelSeries,Arctis Nova 7
Rtings,over-ear,SteelSeries Arctis Nova Pro,SteelSeries,Arctis Nova Pro
Rtings,over-ear,SteelSeries Arctis Prime,SteelSeries,Arctis Prime
Rtings,over-ear,SteelSeries Arctis Pro GameDAC,SteelSeries,Arctis Pro GameDAC
Rtings,over-ear,SteelSeries Arctis Pro Wireless,SteelSeries,Arctis Pro Wireless
Rtings,over-ear,SteelSeries Siberia 200,SteelSeries,Siberia 200
Rtings,over-ear,AKG K240 MKII,AKG,K240 MKII
oratory1990,over-ear,AKG K240 Sextett,AKG,K240 Sextett
Innerfidelity,over-ear,AKG K267 Tiesto (club),AKG,K267 Tiesto
Headphone.com Legacy,over-ear,AKG K271 MKII,AKG,K271 MKII
Innerfidelity,in-ear,AKG K3003 (high boost filter),AKG,K3003
Rtings,over-ear,AKG K371,AKG,K371
oratory1990,over-ear,AKG K601 (K701 earpads),AKG,K601
Rtings,over-ear,AKG K701,AKG,K701
oratory1990,over-ear,AKG K702,AKG,K702
Super Review,over-ear,AKG K712,AKG,K712
Innerfidelity,over-ear,AKG K7XX,AKG,K7XX
Innerfidelity,over-ear,AKG K812 (serial number 001130),AKG,K812
oratory1990,in-ear,AKG N5005,AKG,N5005
Filk,over-ear,AKG N700NC M2 (passive),AKG,N700NC M2
Rtings,over-ear,AKG Q701,AKG,Q701
Harpo,in-ear,Anker Soundcore Liberty 3 Pro,Anker,Soundcore Liberty 3 Pro
oratory1990,over-ear,Anker Soundcore Life Q30 (ANC on),Anker,Soundcore Life Q30
oratory1990,over-ear,Anker Soundcore Life Q35 (ANC on),Anker,Soundcore Life Q35
Filk,over-ear,Anker Soundcore Space Q45,Anker,Soundcore Space Q45
freeryder05,in-ear,Audeze iSINE 10,Audeze,iSINE 10
Rtings,over-ear,Audeze LCD-1,Audeze,LCD-1
oratory1990,over-ear,Audeze LCD-2 (pre-2017),Audeze,LCD-2
Innerfidelity,over-ear,Audeze LCD-2 Classic,Audeze,LCD-2 Classic
Innerfidelity,over-ear,Audeze LCD-3 (serial number 2312454),Audeze,LCD-3
HypetheSonics,over-ear,Audeze LCD-4,Audeze,LCD-4
oratory1990,over-ear,Audeze LCD-R,Audeze,LCD-R
oratory1990,over-ear,Audeze LCD-X (Dekoni sheepskin Earpads),Audeze,LCD-X
Innerfidelity,over-ear,Audeze LCD-XC (sample 1),Audeze,LCD-XC
Innerfidelity,over-ear,Audeze SINE,Audeze,SINE
Rtings,over-ear,Audio-Technica ATH-ANC7B,Audio-Technica,ATH-ANC7b
oratory1990,over-ear,Audio-Technica ATH-M40x,Audio-Technica,ATH-M40x
oratory1990,over-ear,Audio-Technica ATH-M50x,Audio-Technica,ATH-M50x
oratory1990,over-ear,Audio-Technica ATH-M70x,Audio-Technica,ATH-M70x
